Rk,Team,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar
1,Boston Bruins,44-14-12,0-7,05-Jun,2022-04-09,2022-10-03,2026-09-09,2018-05-03,2014-06-03,2012-03-06,2009-02-02,2009-03-01,2018-04-12,16-6-0,2009-01-02,2009-02-03,2006-04-05,2006-03-02,11-3-0,3-1-0
2,St. Louis Blues,42-19-10,03-Feb,07-Jul,2023-07-05,2019-12-05,2013-08-04,2029-11-06,6-6-0,2007-02-04,2015-07-02,2014-04-04,2018-03-10,16-9-0,2007-03-03,2010-02-03,9-4-0,2005-04-02,2008-04-02,3-2-0
3,Tampa Bay Lightning,43-21-6,01-Feb,05-Jun,2022-10-02,2021-11-04,2028-12-03,2015-09-03,2018-05-01,2010-07-02,2004-07-03,11-2-0,2018-09-06,12-7-0,2006-04-02,2006-05-01,2009-04-01,2010-02-01,10-4-0,2002-02-01
4,Colorado Avalanche,42-20-8,01-Jan,07-Apr,2018-09-06,2024-11-02,2021-06-04,21-14-4,2012-01-02,2009-05-02,2010-08-02,2011-06-02,2015-04-08,18-8-0,2008-02-02,8-6-0,2007-05-02,2005-02-02,2011-03-01,2003-02-01
5,Washington Capitals,41-20-8,03-Apr,05-Jun,2018-10-05,2023-10-03,25-14-4,2016-06-04,2014-02-02,2011-12-02,2006-04-01,2010-02-03,2018-07-08,12-10-0,2009-02-03,2010-02-02,8-5-0,8-3-0,2004-07-01,2002-01-02
6,Philadelphia Flyers,41-21-7,05-May,02-May,2025-06-04,16-15-3,1930-10-05,2011-11-02,2014-06-01,2016-04-04,5-4-0,2006-07-02,2015-03-07,21-10-0,2005-05-01,2010-02-04,7-6-0,2005-04-02,10-3-0,4-1-0
7,Pittsburgh Penguins,40-23-6,3-0,06-Aug,2023-08-04,17-15-2,20-16-4,2020-07-02,2012-10-01,2008-06-03,11-2-0,2009-05-02,2016-04-06,18-14-0,8-5-0,2006-04-04,10-2-0,2008-03-01,2005-07-01,3-2-0
8,Vegas Golden Knights,39-24-8,02-Mar,06-Jun,2022-11-04,17-13-4,2016-10-05,23-14-3,2007-05-03,2009-05-02,2008-08-01,2015-06-02,2016-06-08,16-12-0,2008-05-01,2005-06-03,2009-04-02,2004-05-01,2010-02-01,3-2-0
9,Edmonton Oilers,37-25-9,02-Feb,07-Apr,2017-11-06,20-14-3,2017-07-03,20-18-6,2006-05-03,11-2-0,2009-09-02,2011-09-04,2015-04-09,14-15-0,2009-04-01,2007-05-02,2005-08-01,2006-01-02,2007-05-02,2003-02-01
10,Dallas Stars,37-24-8,03-Feb,05-Sep,2019-12-03,2018-12-05,2015-12-02,2022-12-06,2007-07-01,2008-05-01,2012-09-03,2010-03-03,2018-09-08,10-10-0,2005-08-01,2010-02-01,2007-04-02,6-4-0,2009-03-03,2000-03-01
11,Carolina Hurricanes,38-25-5,5-0,05-Jun,2019-12-02,19-13-3,20-17-2,2018-08-03,2012-05-01,2008-12-01,8-5-0,2010-03-03,2013-06-05,16-9-0,2008-03-01,8-7-0,2008-04-01,2005-05-01,2006-05-02,3-1-0
12,Toronto Maple Leafs,36-25-9,05-Jan,04-Jul,2018-09-07,18-16-2,20-15-6,2016-10-03,2012-08-02,2008-07-04,2007-05-01,2009-05-02,2010-06-09,15-10-0,2006-05-03,2007-06-01,2009-03-01,2005-03-02,2008-06-01,2001-02-01
13,Columbus Blue Jackets,33-22-15,0-4,11-Aug,2020-12-04,2013-10-11,2023-09-10,10-13-5,2013-02-05,2010-07-05,2003-05-04,2007-08-01,2020-08-15,9-9-0,2005-05-02,2006-06-02,2007-03-04,9-2-0,2004-05-06,2002-01-01
14,Winnipeg Jets,37-28-6,02-Mar,04-Apr,20-14-3,17-14-3,13-16-2,2024-12-04,8-7-0,2005-09-02,2011-06-04,13-6-0,2015-09-06,18-14-0,6-7-0,2010-03-01,2006-05-02,2003-08-01,2008-05-02,4-0-0
15,New York Islanders,35-23-10,03-Mar,07-Aug,2020-09-06,15-14-4,25-13-5,2010-10-05,2014-06-01,2011-07-04,2006-05-01,2004-05-04,2016-07-10,8-11-0,8-3-0,2009-02-02,2008-05-01,2004-05-02,2006-06-03,2000-02-02
16,New York Rangers,37-28-5,02-Jan,03-May,18-16-2,2019-12-03,24-17-2,2013-11-03,2010-09-02,14-8-0,2008-04-01,2005-07-02,2013-07-05,16-13-0,2004-05-01,2009-04-02,2006-07-01,5-5-0,11-4-0,2002-03-01
17,Calgary Flames,36-27-7,01-Jun,06-May,16-13-4,20-14-3,2016-09-02,20-18-5,2010-04-01,2006-05-01,2007-08-04,2013-10-01,2019-05-07,12-12-0,2007-06-02,2006-06-02,2007-05-01,2007-02-01,2006-07-01,3-1-0
18,Vancouver Canucks,36-27-6,03-Apr,03-May,2022-09-04,14-18-2,16-13-2,20-14-4,8-7-0,2008-06-02,2009-06-03,2011-08-01,2012-06-06,18-13-0,2008-03-01,2005-07-03,8-5-0,8-3-0,2005-06-02,2-3-0
19,Florida Panthers,35-26-8,04-Mar,04-Feb,17-14-4,2018-12-04,20-17-5,2015-09-03,2011-08-02,2009-09-03,2007-02-02,2008-07-01,2014-07-08,15-13-0,2006-03-04,2007-05-01,7-6-0,8-2-0,2005-09-02,2002-01-01
20,Nashville Predators,35-26-8,03-Mar,05-Apr,17-14-4,2018-12-04,2015-09-03,20-17-5,2006-05-03,9-4-0,2012-07-01,2008-10-04,2017-05-08,13-14-0,2008-03-02,2004-07-02,2006-04-02,2006-05-01,2008-05-01,3-2-0
21,Minnesota Wild,35-27-7,03-Feb,04-Mar,2019-11-05,16-16-2,2013-10-04,22-17-3,2009-05-01,2004-05-03,2008-10-01,2014-07-02,2016-07-07,11-14-0,4-9-0,2007-02-04,2008-06-01,2004-04-01,2009-04-01,3-2-0
22,Arizona Coyotes,33-29-8,04-May,04-Feb,2017-12-04,16-17-4,15-13-2,18-16-6,2007-07-01,2008-06-01,2007-08-02,2011-08-04,2011-12-08,14-7-0,2007-04-01,2008-05-03,7-7-0,2004-05-02,2006-06-02,1-2-0
23,Chicago Blackhawks,32-30-8,04-Apr,04-May,16-14-4,16-16-4,2013-10-02,19-20-6,2009-03-01,2004-07-01,2007-12-03,2012-08-03,2011-09-08,14-14-0,2003-06-02,2007-05-03,2008-06-01,6-4-0,2005-07-02,3-2-0
24,Montreal Canadiens,31-31-9,01-Apr,08-Aug,14-17-6,17-14-3,19-21-7,2012-10-02,9-13-2,2010-08-05,2004-06-01,2008-04-01,15-13-9,12-9-0,2007-04-02,2004-05-04,7-7-0,2005-06-01,2007-06-02,1-3-0
25,Buffalo Sabres,30-31-8,02-Feb,06-Jun,2020-11-04,10-20-4,18-18-5,12-13-3,2010-12-02,2008-06-03,5-7-0,2007-06-03,2015-08-08,10-14-0,2009-02-02,2003-08-03,2005-07-02,5-5-0,2007-06-01,1-3-0
26,New Jersey Devils,28-29-12,06-Apr,06-Feb,2013-11-10,15-18-2,18-18-5,2010-11-07,2009-08-03,2009-10-02,2003-06-04,2007-05-03,2013-02-12,9-20-0,2002-05-03,2007-07-01,2005-07-02,2004-05-02,2007-03-04,3-2-0
27,Anaheim Ducks,29-33-9,01-May,08-Apr,16-15-5,13-18-4,2013-12-05,16-21-4,2006-04-04,2007-08-01,2007-11-02,2009-10-02,2015-09-09,7-15-0,8-6-0,2003-06-04,2005-07-01,4-7-0,2006-04-03,2003-03-01
28,Los Angeles Kings,29-35-6,03-Jan,03-Jul,19-13-2,10-22-4,11-15-4,18-20-2,2006-06-02,2005-09-02,2008-07-01,10-13-1,2015-09-06,7-14-0,4-9-0,2007-05-02,2006-07-02,2002-07-01,2005-07-01,5-0-0
29,San Jose Sharks,29-36-5,01-Feb,04-May,17-17-2,12-19-3,11-15-4,18-21-1,2003-09-02,2008-06-02,7-10-0,2011-11-01,2012-08-05,7-22-0,2004-08-01,11-4-0,2002-09-02,2005-05-01,6-7-0,2001-03-01
30,Ottawa Senators,25-34-12,05-Jan,07-Jun,18-13-6,7-21-6,16-19-9,9-15-3,2009-09-05,2007-10-04,2002-09-01,2007-06-02,2011-06-12,11-18-0,2003-07-01,8-8-0,2005-04-04,2002-05-04,2005-07-03,2-3-0
31,Detroit Red Wings,17-49-5,02-Mar,03-Jan,12-23-2,5-26-3,9-33-2,8-16-3,9-13-1,0-20-1,2004-08-01,2004-08-02,2010-08-05,1-30-0,2004-08-01,2003-11-02,3-9-0,2002-08-01,2003-11-01,2-2-0
