Rk,Team,Overall,Shootout,Overtime,Home,Road,CEN,EAS,NTH,WES,≤1,≥3,Jan,Feb,Mar,Apr,May
1,Vegas Golden Knights,40-14-2,02-Jan,9-0,2021-05-02,19-9-0,,,,40-14-2,2017-07-02,19-3-0,2005-01-01,7-3-0,12-5-0,2011-03-01,5-2-0
2,Colorado Avalanche,39-13-4,0-1,03-Apr,2022-04-02,2017-09-02,,,,39-13-4,2017-03-04,18-7-0,2006-03-01,5-3-0,2012-02-03,9-4-0,7-1-0
3,Carolina Hurricanes,1936-12-08,02-Apr,06-May,2020-03-05,2016-09-03,1936-12-08,,,,2014-03-08,14-2-0,5-1-0,2008-05-01,2010-02-02,2010-02-04,2003-02-01
4,Florida Panthers,37-14-5,02-Jan,03-Oct,2020-05-03,2017-09-02,37-14-5,,,,2017-03-05,13-8-0,5-0-1,2008-04-02,2010-05-01,2010-05-01,4-0-0
5,Pittsburgh Penguins,37-16-3,01-Mar,02-May,2022-04-02,2015-12-01,,37-16-3,,,2016-04-03,17-6-0,2005-03-01,6-5-0,2012-03-01,2010-04-01,4-1-0
6,Washington Capitals,36-15-5,02-Mar,03-Apr,2017-08-03,2019-07-02,,36-15-5,,,2019-01-05,10-9-0,6-0-3,2006-05-01,11-3-0,2009-05-01,4-2-0
7,Toronto Maple Leafs,35-14-7,1-0,07-May,2018-07-03,2017-07-04,,,35-14-7,,2014-04-07,11-4-0,2007-02-01,2009-02-01,2007-06-01,2009-03-02,2003-01-02
8,Tampa Bay Lightning,36-17-3,02-Jan,01-Jun,21-7-0,2015-10-03,36-17-3,,,,2012-02-03,16-10-0,2004-01-01,10-3-0,2010-05-01,10-5-0,2002-03-01
9,Minnesota Wild,35-16-5,01-Jan,04-Jul,2021-05-02,2014-11-03,,,,35-16-5,2015-05-05,14-9-0,6-4-0,6-2-0,2009-05-02,2010-03-02,2004-02-01
10,Boston Bruins,33-16-7,02-Apr,05-Apr,2018-07-03,2015-09-04,,33-16-7,,,2012-08-07,15-6-0,2005-01-02,7-4-0,2006-04-03,2011-05-01,2004-02-01
11,Edmonton Oilers,35-19-2,0-0,02-Apr,16-12-0,2019-07-02,,,35-19-2,,2014-05-02,13-8-0,5-6-0,9-3-0,2008-05-01,2007-03-01,6-2-0
