Team,conf_20_21,div_20_21,conf_19_20,div_19_20,conf_18_19,div_18_19,conf_17_18,div_17_18,conf_16_17,div_16_17,conf_15_16,div_15_16,conf_14_15,div_14_15,conf_13_14,div_13_14,conf_12_13,div_12_13,conf_11_12,div_11_12,conf_10_11,div_10_11,conf_09_10,div_09_10,conf_08_09,div_08_09,conf_07_08,div_07_08,conf_06_07,div_06_07,conf_05_06,div_05_06
Anaheim Ducks,North West,West,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,,
Arizona Coyotes,North West,West,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,,,,,,,,,,,,,,,,,,
Boston Bruins,Central East,East,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Northeast,East,Northeast,East,Northeast,East,Northeast,East,Northeast,East,Northeast,East,Northeast,East,Northeast
Buffalo Sabres,Central East,East,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Northeast,East,Northeast,East,Northeast,East,Northeast,East,Northeast,East,Northeast,East,Northeast,East,Northeast
Calgary Flames,North West,North,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Northwest,West,Northwest,West,Northwest,West,Northwest,West,Northwest,West,Northwest,West,Northwest,West,Northwest
Carolina Hurricanes,Central East,Central,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Southeast,East,Southeast,East,Southeast,East,Southeast,East,Southeast,East,Southeast,East,Southeast,East,Southeast
Chicago Blackhawks,Central East,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central
Colorado Avalanche,North West,West,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Northwest,West,Northwest,West,Northwest,West,Northwest,West,Northwest,West,Northwest,West,Northwest,West,Northwest
Columbus Blue Jackets,Central East,Central,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Metropolitan,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central
Dallas Stars,Central East,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific
Detroit Red Wings,Central East,Central,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central
Edmonton Oilers,North West,North,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Northwest,West,Northwest,West,Northwest,West,Northwest,West,Northwest,West,Northwest,West,Northwest,West,Northwest
Florida Panthers,Central East,Central,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Southeast,East,Southeast,East,Southeast,East,Southeast,East,Southeast,East,Southeast,East,Southeast,East,Southeast
Los Angeles Kings,North West,West,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific,West,Pacific
Minnesota Wild,North West,West,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Northwest,West,Northwest,West,Northwest,West,Northwest,West,Northwest,West,Northwest,West,Northwest,West,Northwest
Montreal Canadiens,North West,North,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Northeast,East,Northeast,East,Northeast,East,Northeast,East,Northeast,East,Northeast,East,Northeast,East,Northeast
Nashville Predators,Central East,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central,West,Central
New Jersey Devils,Central East,East,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic
New York Islanders,Central East,East,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic
New York Rangers,Central East,East,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Metropolitan,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic,East,Atlantic
